#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
2104	M+H	2577404	1	Spectral Match to Phe-Phe from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.pklbin2104	N/A	N/A	Q-TOF	Positive	ESI	313.155	lib-00030.mgf	Bronze	3	0.82116	3.21592	0.00100708	1	GNPS-NIST14-MATCHES	Data from Chris Turck	313.155	N/A	212.039	6	N/A	0	313.154	spectra/specs_ms.pklbin	CCMSLIB00003136393	3607.91	UPDATE-SINGLE-ANNOTATED-BRONZE	 
285	[M+H]+	73-22-3	1	Massbank:BML01197 L-Tryptophan	Isolated	Massbank	0.0	spectra/specs_ms.pklbin285	1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	N/A	LC-ESI-QTOF	Positive	ESI	205.097	lib-00003.mgf	Bronze	3	0.977637	0	0	1	MASSBANK	Putative Massbank Match	205.097	N/A	72.658	6	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0	205.097	spectra/specs_ms.pklbin	CCMSLIB00000205173	17190.3	UPDATE-SINGLE-ANNOTATED-BRONZE	 
286	M+H	73223	1	Spectral Match to L-Tryptophan from NIST14	Isolated	Data deposited by quinnr	0.0	spectra/specs_ms.pklbin286	N/A	N/A	HCD	Positive	ESI	205.098	lib-00030.mgf	Bronze	3	0.945962	4.91024	0.00100708	1	GNPS-NIST14-MATCHES	Data from Dorrestein	205.098	N/A	66.402	6	N/A	0	205.097	spectra/specs_ms.pklbin	CCMSLIB00003138927	6165.17	UPDATE-SINGLE-ANNOTATED-BRONZE	 
2991	M+H	69534	1	Spectral Match to Ampicillin from NIST14	Isolated	Data deposited by amelnik	0.0	spectra/specs_ms.pklbin2991	N/A	N/A	Q-TOF	Positive	ESI	350.117	lib-00030.mgf	Bronze	3	0.798751	0	0	1	GNPS-NIST14-MATCHES	Data from P.Dorrestein	350.117	N/A	182.937	8	N/A	0	350.117	spectra/specs_ms.pklbin	CCMSLIB00003138124	2520.2	UPDATE-SINGLE-ANNOTATED-BRONZE	 
2993	[M+H]	"137234-62-9, 173967-54-9"	1	Voriconazole	Commercial	Garg_Neha	349.115	spectra/specs_ms.pklbin2993	N/A	N/A	qTof	Positive	LC-ESI	350.122	lib-00018.mgf	Gold	1	0.813871	0	0	1	GNPS-SELLECKCHEM-FDA-PART2	Dorrestein	350.122	N/A	278.374	11	C1=C(C(=CC(=C1)F)F)[C@@](CN2C=NC=N2)([C@H](C3=NC=NC=C3F)C)O	0	350.122	spectra/specs_ms.pklbin	CCMSLIB00000078151	6284.17	UPDATE-SINGLE-ANNOTATED-GOLD	 
2994	[M+H]	"137234-62-9, 173967-54-9"	1	Voriconazole	Commercial	Garg_Neha	349.115	spectra/specs_ms.pklbin2994	N/A	N/A	qTof	Positive	LC-ESI	350.122	lib-00018.mgf	Gold	1	0.764569	0	0	1	GNPS-SELLECKCHEM-FDA-PART2	Dorrestein	350.122	N/A	298.706	12	C1=C(C(=CC(=C1)F)F)[C@@](CN2C=NC=N2)([C@H](C3=NC=NC=C3F)C)O	0	350.122	spectra/specs_ms.pklbin	CCMSLIB00000078151	3862.32	UPDATE-SINGLE-ANNOTATED-GOLD	 
3585	M+2H]	83905015	1	Spectral Match to Azithromycin from NIST14	Isolated	Data deposited by amelnik	0.0	spectra/specs_ms.pklbin3585	N/A	N/A	HCD	Positive	ESI	375.262	lib-00030.mgf	Bronze	3	0.745315	2.68367	0.00100708	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	375.262	N/A	229.589	13	N/A	0	375.261	spectra/specs_ms.pklbin	CCMSLIB00003134635	8260.94	UPDATE-SINGLE-ANNOTATED-BRONZE	 
3778	M+H	117840	1	Spectral Match to Dioctyl phthalate from NIST14	Isolated	Data deposited by lfnothias	0.0	spectra/specs_ms.pklbin3778	N/A	N/A	QqQ	Positive	ESI	391.284	lib-00030.mgf	Bronze	3	0.776415	0	0	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	391.284	N/A	584.614	5	N/A	0	391.284	spectra/specs_ms.pklbin	CCMSLIB00003140109	2699.57	UPDATE-SINGLE-ANNOTATED-BRONZE	 
4157	M-H2O+H	n/a	1	NCGC00347704-02_C24H32O7_2H-Oxireno[1,10a]phenanthro[3,2-b]furan-10(11bH)-one, 5,7-bis(acetyloxy)-3,3a,4,5,6,7,7a,7b,8,8a-decahydro-4,4,7a,11-tetramethyl-, (1aS,3aR,5S,7S,7aR,7bS,8aR,11bR)-	isolated	lfnothias	432.215	spectra/specs_ms.pklbin4157	InChI=1S/C24H32O7/c1-11-19-14(30-21(11)27)9-16-23(6)15(7-8-24(16)20(19)31-24)22(4,5)17(28-12(2)25)10-18(23)29-13(3)26/h14-18,20H,7-10H2,1-6H3/t14-,15-,16+,17+,18+,20-,23-,24+/m1/s1	N/A	Maxis II HD Q-TOF Bruker	positive	LC-ESI	415.211	lib-00001.mgf	Gold	1	0.922187	0	0	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	415.211	n/a	343.06	9	CC(=O)O[C@H]1C[C@H](OC(C)=O)[C@]2(C)[C@H](CC[C@@]34O[C@@H]3C/5=C(C)/C(=O)O[C@@H]5C[C@@H]24)C1(C)C	0	415.211	spectra/specs_ms.pklbin	CCMSLIB00000853048	24226.5	UPDATE-SINGLE-ANNOTATED-GOLD	 
4470	M+ACN+H	n/a	1	NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate	isolated	lfnothias	390.204	spectra/specs_ms.pklbin4470	InChI=1S/C22H30O6/c1-10-6-15-14(17(10)25)7-13(9-23)8-16-18-20(4,5)22(18,28-12(3)24)19(26)11(2)21(15,16)27/h6,8,11,14-16,18-19,23,26-27H,7,9H2,1-5H3	N/A	Maxis II HD Q-TOF Bruker	positive	LC-ESI	432.238	lib-00001.mgf	Gold	1	0.903421	2.32992	0.00100708	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	432.238	n/a	351.424	7	CC1C(O)C2(OC(C)=O)C(C3\C=C(CO)/CC4C(\C=C(C)/C4=O)C13O)C2(C)C	0	432.237	spectra/specs_ms.pklbin	CCMSLIB00000853386	10099.1	UPDATE-SINGLE-ANNOTATED-GOLD	 
4471	M+ACN+H	n/a	1	NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate	isolated	lfnothias	390.204	spectra/specs_ms.pklbin4471	InChI=1S/C22H30O6/c1-10-6-15-14(17(10)25)7-13(9-23)8-16-18-20(4,5)22(18,28-12(3)24)19(26)11(2)21(15,16)27/h6,8,11,14-16,18-19,23,26-27H,7,9H2,1-5H3	N/A	Maxis II HD Q-TOF Bruker	positive	LC-ESI	432.238	lib-00001.mgf	Gold	1	0.790482	2.32992	0.00100708	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	432.238	n/a	356.56	5	CC1C(O)C2(OC(C)=O)C(C3\C=C(CO)/CC4C(\C=C(C)/C4=O)C13O)C2(C)C	0	432.237	spectra/specs_ms.pklbin	CCMSLIB00000853386	1856.15	UPDATE-SINGLE-ANNOTATED-GOLD	 
4557	M+H	 	1	TOP 8 Psoriasis feature - Unknown FeatureID=4262	Lysate	lfnothias	0.0	spectra/specs_ms.pklbin4557	 	 	qTof	Positive	LC-ESI	438.297	lib-00012.mgf	Bronze	3	0.87544	4.59542	0.00201416	1	GNPS-LIBRARY	Dorrestein	438.297	 	408.714	13	 	0	438.299	spectra/specs_ms.pklbin	CCMSLIB00004684235	7713.06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
4780	M+H	53862354	1	Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	Isolated	Data deposited by alchemistmatt	0.0	spectra/specs_ms.pklbin4780	N/A	N/A	HCD	Positive	ESI	454.291	lib-00030.mgf	Bronze	3	0.783539	2.21682	0.00100708	1	GNPS-NIST14-MATCHES	Data from Katrina Waters;Yoshihiro Kawaoka;Michael Diamond;Richard Smith;Thomas Metz	454.291	N/A	393.546	8	N/A	0	454.292	spectra/specs_ms.pklbin	CCMSLIB00003134881	8148.79	UPDATE-SINGLE-ANNOTATED-BRONZE	 
483	M+H	N/A	1	Spectral Match to Gly-Phe from NIST14	Isolated	Data deposited by vphelan	0.0	spectra/specs_ms.pklbin483	N/A	N/A	Q-TOF	Positive	ESI	223.109	lib-00030.mgf	Bronze	3	0.80102	8.9593	0.0019989	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	223.109	N/A	67.906	4	N/A	0	223.107	spectra/specs_ms.pklbin	CCMSLIB00003137115	11914.7	UPDATE-SINGLE-ANNOTATED-BRONZE	 
4878	M+H	52050176	1	Spectral Match to D-Glucosyl-.beta.1-1'-D-erythro-sphingosine from NIST14	Isolated	Data deposited by quinnr	0.0	spectra/specs_ms.pklbin4878	N/A	N/A	HCD	Positive	ESI	462.354	lib-00030.mgf	Bronze	3	0.87047	25.9399	0.0119934	1	GNPS-NIST14-MATCHES	Data from Rohwer/Dorrestein	462.354	N/A	350.338	11	N/A	0	462.342	spectra/specs_ms.pklbin	CCMSLIB00003134939	5908.95	UPDATE-SINGLE-ANNOTATED-BRONZE	 
4915	M+H	 	1	TOP19 Psoriasis feature - Unknown FeatureID=3668	Lysate	lfnothias	0.0	spectra/specs_ms.pklbin4915	 	 	qTof	Positive	LC-ESI	466.328	lib-00012.mgf	Bronze	3	0.906159	2.1596	0.00100708	1	GNPS-LIBRARY	Dorrestein	466.328	 	449.618	12	 	0	466.329	spectra/specs_ms.pklbin	CCMSLIB00004684237	7651.04	UPDATE-SINGLE-ANNOTATED-BRONZE	 
4948	M+H	20559164	1	Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by alchemistmatt	0.0	spectra/specs_ms.pklbin4948	N/A	N/A	Q-TOF	Positive	ESI	468.303	lib-00030.mgf	Bronze	3	0.757389	10.6873	0.00500488	1	GNPS-NIST14-MATCHES	Data from Charles Ansong	468.303	N/A	358.135	4	N/A	0	468.308	spectra/specs_ms.pklbin	CCMSLIB00003135552	1761.84	UPDATE-SINGLE-ANNOTATED-BRONZE	 
4949	M+H	20559164	1	Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by mjmeehan	0.0	spectra/specs_ms.pklbin4949	N/A	N/A	Q-TOF	Positive	ESI	468.309	lib-00030.mgf	Bronze	3	0.89506	2.0853	0.000976562	1	GNPS-NIST14-MATCHES	Data from Gabriel Haddad	468.309	N/A	357.086	8	N/A	0	468.308	spectra/specs_ms.pklbin	CCMSLIB00003136632	6613.8	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5055	M+Na	53862354	1	Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	Isolated	Data deposited by alchemistmatt	328.204	spectra/specs_ms.pklbin5055	1S/C21H28O3/c1-3-23-20(22)14(2)24-19-6-4-18(5-7-19)21-11-15-8-16(12-21)10-17(9-15)13-21/h4-7,14-17H,3,8-13H2,1-2H3	N/A	qTof	Positive	LC-ESI	476.273	lib-00030.mgf	Bronze	3	0.802356	2.05043	0.000976562	1	GNPS-NIST14-MATCHES	Data from Katrina Waters;Yoshihiro Kawaoka;Michael Diamond;Richard Smith;Thomas Metz	476.273	N/A	399.812	10	CCOC(=O)C(C)OC1=CC=C(C=C1)C23CC4CC(C2)CC(C4)C3	0	476.274	spectra/specs_ms.pklbin	CCMSLIB00003139369	3274.4	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5087	M+H	89576294	1	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.pklbin5087	N/A	N/A	HCD	Positive	ESI	480.308	lib-00030.mgf	Bronze	3	0.700507	14.5501	0.00698853	1	GNPS-NIST14-MATCHES	Data from Kevin Bush	480.308	N/A	400.484	8	N/A	0	480.315	spectra/specs_ms.pklbin	CCMSLIB00003137012	5755.78	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5088	M+H	97802534	1	Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by lamccall	0.0	spectra/specs_ms.pklbin5088	N/A	N/A	HCD	Positive	ESI	480.343	lib-00030.mgf	Bronze	3	0.703788	35.3878	0.0169983	1	GNPS-NIST14-MATCHES	Data from James McKerrow	480.343	N/A	401.693	12	N/A	0	480.326	spectra/specs_ms.pklbin	CCMSLIB00003135782	9765.94	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5119	M+H	60793013	1	Spectral Match to HEPC from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.pklbin5119	N/A	N/A	HCD	Positive	ESI	482.324	lib-00030.mgf	Bronze	3	0.822362	2.08797	0.00100708	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	482.324	N/A	372.368	5	N/A	0	482.323	spectra/specs_ms.pklbin	CCMSLIB00003134569	4124.23	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5121	M+H	108273898	1	Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by eriche	0.0	spectra/specs_ms.pklbin5121	N/A	N/A	HCD	Positive	ESI	482.321	lib-00030.mgf	Bronze	3	0.875151	68.3974	0.0329895	1	GNPS-NIST14-MATCHES	Data from Piel	482.321	N/A	376.269	10	N/A	0	482.354	spectra/specs_ms.pklbin	CCMSLIB00003138155	7600.46	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5122	M+H	69747553	1	Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	Isolated	Data deposited by alchemistmatt	0.0	spectra/specs_ms.pklbin5122	N/A	N/A	HCD	Positive	ESI	482.32	lib-00030.mgf	Bronze	3	0.80683	8.28869	0.0039978	1	GNPS-NIST14-MATCHES	Data from Charles Ansong	482.32	N/A	430.118	9	N/A	0	482.324	spectra/specs_ms.pklbin	CCMSLIB00003140187	7252.61	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5375	M+H	17364168	1	Spectral Match to Lyso-PC(16:0) from NIST14	Isolated	Data deposited by amelnik	0.0	spectra/specs_ms.pklbin5375	N/A	N/A	Q-TOF	Positive	ESI	496.34	lib-00030.mgf	Bronze	3	0.793666	8.05457	0.0039978	1	GNPS-NIST14-MATCHES	Data from P.Dorrestein	496.34	N/A	392.019	8	N/A	0	496.344	spectra/specs_ms.pklbin	CCMSLIB00003136336	7422.94	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5376	M+H	17364168	1	Spectral Match to Lyso-PC(16:0) from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.pklbin5376	N/A	N/A	Q-TOF	Positive	ESI	496.339	lib-00030.mgf	Bronze	3	0.857129	6.08705	0.00302124	1	GNPS-NIST14-MATCHES	Data from Julia Gauglitz	496.339	N/A	394.633	11	N/A	0	496.342	spectra/specs_ms.pklbin	CCMSLIB00003140032	12126	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5412	[M+H]	N/A	1	FLUTICASONE PROPIONATE	Commercial	Garg_Neha	500.184	spectra/specs_ms.pklbin5412	N/A	N/A	qTof	Positive	LC-ESI	501.192	lib-00004.mgf	Gold	1	0.708637	0	0	1	GNPS-NIH-CLINICALCOLLECTION1	Dorrestein	501.192	N/A	391.542	13	CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C)C(=O)SCF	0	501.192	spectra/specs_ms.pklbin	CCMSLIB00000078957	1827.9	UPDATE-SINGLE-ANNOTATED-GOLD	 
5484	M+H	97802556	1	Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.pklbin5484	N/A	N/A	HCD	Positive	ESI	508.367	lib-00030.mgf	Bronze	3	0.85509	13.747	0.00698853	1	GNPS-NIST14-MATCHES	Data from Karly Nisson	508.367	N/A	389.187	9	N/A	0	508.374	spectra/specs_ms.pklbin	CCMSLIB00003138582	10275.5	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5536	M+H	50930239	1	Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.pklbin5536	N/A	N/A	HCD	Positive	ESI	510.355	lib-00030.mgf	Bronze	3	0.853601	58.7802	0.0299988	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	510.355	N/A	408.82	12	N/A	0	510.385	spectra/specs_ms.pklbin	CCMSLIB00003134521	13288.8	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5537	M+H	19191914	1	Spectral Match to 1,2-Dioctanoyl PC from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.pklbin5537	N/A	N/A	HCD	Positive	ESI	510.321	lib-00030.mgf	Bronze	3	0.775911	66.618	0.0339966	1	GNPS-NIST14-MATCHES	Data from Lihini Aluwihare	510.321	N/A	410.443	8	N/A	0	510.355	spectra/specs_ms.pklbin	CCMSLIB00003137964	1867.21	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5655	M+H	19420565	1	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by lamccall	0.0	spectra/specs_ms.pklbin5655	N/A	N/A	HCD	Positive	ESI	522.355	lib-00030.mgf	Bronze	3	0.840645	0	0	1	GNPS-NIST14-MATCHES	Data from James McKerrow	522.355	N/A	408.599	18	N/A	0	522.355	spectra/specs_ms.pklbin	CCMSLIB00003134891	2908.73	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5656	M+H	19420565	1	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by lamccall	0.0	spectra/specs_ms.pklbin5656	N/A	N/A	HCD	Positive	ESI	522.355	lib-00030.mgf	Bronze	3	0.862995	5.72546	0.00299072	1	GNPS-NIST14-MATCHES	Data from James McKerrow	522.355	N/A	405.9	17	N/A	0	522.358	spectra/specs_ms.pklbin	CCMSLIB00003134891	4919.67	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5744	M+H	N/A	1	Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by mjmeehan	0.0	spectra/specs_ms.pklbin5744	N/A	N/A	Q-TOF	Positive	ESI	524.369	lib-00030.mgf	Bronze	3	0.811352	32.4749	0.0170288	1	GNPS-NIST14-MATCHES	Data from Gabriel Haddad	524.369	N/A	404.5	11	N/A	0	524.352	spectra/specs_ms.pklbin	CCMSLIB00003137252	7380.57	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5745	M+H	74389687	1	Spectral Match to PAF C-16 from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.pklbin5745	N/A	N/A	Q-TOF	Positive	ESI	524.371	lib-00030.mgf	Bronze	3	0.726228	59.0132	0.0309448	1	GNPS-NIST14-MATCHES	Data from Kevin Bush	524.371	N/A	396.031	8	N/A	0	524.34	spectra/specs_ms.pklbin	CCMSLIB00003134705	11182	UPDATE-SINGLE-ANNOTATED-BRONZE	 
5812	M+Na	74430890	1	Spectral Match to Lyso-PAF C-18 from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.pklbin5812	N/A	N/A	Q-TOF	Positive	ESI	532.373	lib-00030.mgf	Bronze	3	0.734857	11.2354	0.00598145	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	532.373	N/A	457.217	8	N/A	0	532.367	spectra/specs_ms.pklbin	CCMSLIB00003137258	10592.8	UPDATE-SINGLE-ANNOTATED-BRONZE	 
