VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES	FDR
spectra-00000_PSM_18_FKG1R2UEK6	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1390	8847	4094	Shearamide-A	9	6.7e-12	897.475	941.461	221.027	M+H	1	C1(=O)N2[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N3[C@H](C(=O)N[C@H](C(=O)N[C@H]1[C@H](O)C)C(C)C)CCC3)Cc1ccccc1)Cc1c[nH]c3c1cccc3)[C@H](CC)C)CCC2	14.29
spectra-00000_PSM_19_8V6ZL049B2	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1205	7986	2743	Prepatellamide_B_formate_Prepatellamide_B_formate	8	7.9e-12	822.319	784.421	324.369	M+H	1	CCCC1C(=O)NC(C(C)OC=O)C(=O)NC(Cc2ccccc2)c2nc(cs2)C(=O)NC(C(C)C(C)C)C2=NC(C(C)O2)C(=O)NC(C)c2nc(cs2)C(=O)N1	12.50
spectra-00000_PSM_20_7KU9JIU9U9	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	251	2445	1307	Bursaphelocide_B_Bursaphelocide_B	7	8.7e-12	607.394	328.22	177.994	M+2H	2	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(C(C)CC)C(=O)N2CC(C)CC2C(=O)N1	0.00
spectra-00000_PSM_21_GP26B0Y05T	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1055	7196	3943	TAN-1511_C	7	9.0e-12	1363.93	699.787	206.159	M+2H	2	N1(C(=O)C(CC(=O)O)NC(=O)CNC(=O)CNC(=O)CNC(=O)C(NC(=O)CCCCCCCCCCCC)CSCC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)C(C(=O)NC(C(=O)O)CC(C)C)CCC1	0.00
spectra-00000_PSM_22_KT7P6KH2WF	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	671	5608	4251	phakellistatin_16	11	9.1e-12	1036.5	518.277	219.068	M+2H	2	[C@@H]1(C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCNC(=N)N)CO)CC(=O)O)Cc1ccccc1)CCC2)Cc1ccc(cc1)O)[C@H](O)C)C(C)C)C	0.00
spectra-00000_PSM_23_RV9F1QEU66	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1249	8146	1989	Omphalotin_B_Omphalotin_B	12	1.0e-11	1481.91	806.429	252.941	M+2H	2	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C(C)C)C(=O)N(C)CC(=O)N(C)C(C(=O)N(C)C(C(C)C(C)OC(=O)CC(C)(C)O)C(=O)N(C)C(C(=O)NC(C(C)C)C(=O)N(C)C(C(C)CC)C(=O)N(C)CC(=O)N2C(CC3(c4ccccc4NC23)O)C(=O)N(C)C(C(C)C)C(=O)N1)O)C(C)(C)O	0.00
spectra-00000_PSM_24_S8D115V8QW	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	836	6330	233	Sch_378167_Sch_378167	11	3.8e-11	1137.63	571.799	169.923	M+2H	2	CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(C)C)C(=O)N(C)C(CCC(=O)O)C(=O)OC(C(C)CC)C(=O)NC(Cc2ccccc2)C(=O)N2CCCC2C(=O)NCC(=O)N(C)C(C(C)C)C(=O)N(C)C(CCC(=O)O)C(=O)N1	0.00
spectra-00000_PSM_25_6Q7GIUM3CJ	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1156	7728	2668	Destruxins_4',5'-Dihydro,_4'ξ,5'-dihydroxy	8	4.0e-11	611.353	755.403	183.253	M+H	1	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C)C(=O)NCCC(=O)OC(CC(CO)O)C(=O)N2CCCC2C(=O)N1	11.11
spectra-00000_PSM_27_0TAM74LJO2	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	914	6648	76	Prenylagaramide_A_Prenylagaramide_A	10	4.6e-11	1080.49	608.328	228.581	M+2H	2	CC(=CCOc1ccc(cc1)CC1C(=O)NCC(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CC(=N)O)C(=O)N2CCCC2C(=O)N1)C	5.26
spectra-00000_PSM_28_SK64VBNH3T	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	824	6301	3198	Pleofungin_D_Pleofungin_D	13	4.6e-11	1080.7	569.365	270.81	M+2H	2	CCC(C)C(C(=O)NC1C(C)OC(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C(C)C)N(C)C(=O)C(CO)NC(=O)C(CC(C)C)N(C)C(=O)C(C(C)CC)NC(=O)C(CC(C)C)OC(=O)C(C(C)C)OC1=O)NC	5.00
spectra-00000_PSM_29_9W6FIMB0V8	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	320	3156	1211	Patellamide_G_Patellamide_G	10	5.0e-11	794.324	358.702	173.865	M+2H	2	CCC(C)C1C(=O)NC(C(C)O)C(=O)NC(C)c2nc(cs2)C(=O)NC(CC(C)C)C2=NC(C(C)O2)C(=O)NC(Cc2ccccc2)c2nc(cs2)C(=O)N1	4.76
spectra-00000_PSM_30_KMJLFXIE5E	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	891	6554	314	Largamide_H_Largamide_H	13	5.3e-11	1198.66	593.825	191.228	M+2H	2	CCCCCCCC(CC1C(C(=O)NC(=CC)C(=O)NC(C(C)C)C(=O)NC(CCCc2ccc(cc2)OC)C(=O)NC(C(C)O)C(=O)N(C)C(CC(=N)O)C(=O)NC(=CC)C(=O)NC(CCC(=N)O)C(=O)N(C)CC(=O)NC(C)C(=O)N1)O)O	4.55
spectra-00000_PSM_31_BXHDI7ON7H	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	877	6507	2313	Kahalalide_P_Kahalalide_P	13	5.8e-11	1317.72	588.325	238.704	M+2H	2	CC(C)CCCCCC1CC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)NC(CO)C(=O)NC(C(C)C)C(=O)N2CC(CC2C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(Cc2ccccc2)C(=O)NC(CCCCN)C(=O)N2CCCC2C(=O)O1)O	4.35
spectra-00000_PSM_32_L0ZVQR56IW	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1112	7442	1463	Hirsutatin_A_Hirsutatin_A	8	6.0e-11	676.368	731.407	244.074	M+H	1	CC(C)CC1C(=O)NC(C(C)O)C(=O)NC(CO)C(=O)OC(C(C)C)C(=O)OC(CC(C)C)C(=O)NC(Cc2ccccc2)C(=O)N1C	10.00
spectra-00000_PSM_33_N2VQAPC77T	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	367	3704	3932	euryjanicin_C	9	6.1e-11	767.458	384.715	146.402	M+2H	2	[C@H]1(NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C1=O)CC(C)C)Cc1ccccc1)[C@@H](C)CC)CO)[C@@H](C)CC	4.17
spectra-00000_PSM_34_KR2D7U2AF9	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1021	7054	162	Skyllamycin_A_Skyllamycin_A	12	6.3e-11	1482.67	679.303	162.266	M+2H	2	CC=Cc1ccccc1C=CC(=O)NC1C(C)OC(=O)C(C(C(C)C)O)NC(=O)C(CC(C)C)NC(=O)C(O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(C(c2ccc(cc2)OC)O)NC(=O)C2CCCN2C(=O)C(C(c2ccccc2)O)NC(=O)CNC(=O)C(C(C)C(=O)O)NC(=O)C(C)NC1=O	4.00
spectra-00000_PSM_36_GL3Z0S15CX	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1116	7462	3256	Antibiotic_CDA_Antibiotic_CDA_4B	10	7.1e-11	1496.54	733.299	98.518	M+2H	2	CCCC1C(C(=O)NC(CO)C(=O)NC2C(C)OC(=O)C(Cc3c[nH]c4ccccc34)NC(=O)C(C(C)CC(=O)O)NC(=O)C(C(C(=N)O)O)NC(=O)CNC(=O)C(CC(=O)O)NC(=O)C(c3ccc(cc3)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3c[nH]c4ccccc34)NC2=O)O1	7.41
spectra-00000_PSM_37_YPANCYC76D	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1053	7190	1366	Citrusin_X_Citrusin_X	7	8.0e-11	738.349	698.37	201.303	M+H	1	c1ccc(cc1)CC1C(=O)NCC(=O)NCC(=O)N2CCCC2C(=O)N2CCCC2C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N2CCCC2C(=O)N1	9.09
spectra-00000_PSM_38_WJKSK61KA5	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	883	6529	1166	Antibiotic_BK_230_Antibiotic_BK_230	11	8.2e-11	1125.67	590.359	273.927	M+2H	2	CCC(C)C1C(=O)NCC(=O)N(C)C(C(C)C)C(=O)NC(Cc2ccc(cc2)OC)C(=O)OC(C)C(=O)N2CCCCC2C(=O)N(C)C(C(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(=O)O)C(=O)N(C)C(C(C)CC)C(=O)N1C	7.14
spectra-00000_PSM_39_1EU91BJEER	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	941	6757	1195	Puwainaphycin_D_Puwainaphycin_D	10	8.6e-11	1224.69	630.309	177.424	M+2H	2	CCC(CCCCCCCCCC(C)C1C(C(=O)NC(C(C)C)C(=O)NC(=CC)C(=O)NC(C(C)C)C(=O)NC(C(C)O)C(=O)NC(CCC(=N)O)C(=O)NCC(=O)NC(C(C)OC)C(=O)N(C)C(CC(=N)O)C(=O)N2CCCC2C(=O)N1)O)Cl	6.90
spectra-00000_PSM_40_1ZWBCO86N9	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1060	7205	3936	hymenamide_B	7	1.1e-10	830.396	702.312	252.775	M+H	1	[C@H]1(NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2N(C(=O)[C@H]3N(C(=O)[C@@H](NC1=O)Cc1ccccc1)CCC3)CCC2)CC(=O)N)Cc1ccccc1)C(C)C)CCC(=O)O	8.33
spectra-00000_PSM_41_94L9FLUNLK	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	329	3305	3791	Phakellistatin_13	9	1.1e-10	798.406	364.22	178.411	M+2H	2	N12C(=O)C(NC(=O)C(NC(=O)[C@@H](NC(=O)[C@H]3N(C(=O)CNC(=O)[C@@H](NC(=O)[C@@H]1CCC2)Cc1ccccc1)CCC3)C(O)C)CC(C)C)Cc1c[nH]c2c1cccc2	6.67
spectra-00000_PSM_42_JVLWFDMIBQ	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	612	5365	4168	Microcystin-XZ	10	1.2e-10	867.438	495.758	75.38	M+2H	2	N1[C@H]([C@@H](C(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@@H](C(=O)O)CCC(=O)N(C(=C)C(=O)N[C@@H](C(=O)N[C@H](C1=O)C)C)C)C)/C=C/C(=C/[C@@H]([C@H](Cc1ccccc1)OC)C)/C)C)C)C(=O)O	6.45
spectra-00000_PSM_43_GH79JAO7CP	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1214	8028	2874	Lyngbyazothrin_C_4''''-Demethoxy	11	1.3e-10	1501.77	788.406	199.361	M+2H	2	CCC(C)C1C(=O)NC(CO)C(=O)NC(=CC)C(=O)NC(C(C)O)C(=O)NC(CCc2ccccc2)C(=O)N2CCCC2C(=O)NC(CC(CC(C(CC(C)C)O)O)OC(=O)C(Cc2ccc(cc2)O)N(C)C(=O)C)C(C(=O)NC(CCC(=N)O)C(=O)NCC(=O)N2CCCC2C(=O)N2CCCC2C(=O)N1)O	6.25
spectra-00000_PSM_44_HAMFE5YNAN	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1256	8185	3791	Phakellistatin_13	7	1.3e-10	798.406	811.455	232.9	M+H	1	N12C(=O)C(NC(=O)C(NC(=O)[C@@H](NC(=O)[C@H]3N(C(=O)CNC(=O)[C@@H](NC(=O)[C@@H]1CCC2)Cc1ccccc1)CCC3)C(O)C)CC(C)C)Cc1c[nH]c2c1cccc2	7.69
spectra-00000_PSM_46_BSDESTNQMF	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	623	5409	2834	BZR-Cotoxin_II_BZR-Cotoxin_II	10	1.4e-10	964.573	500.781	213.552	M+2H	2	CC(C)CC1C(=O)NC2(CC2)C(=O)OC(CC(C)C)C(=O)N(C)C(CC(C)CO)C(=O)N(C)C(C(C)C)C(=O)NC(C(C)O)C(=O)OC(C(C)C)C(=O)N2CC(C)CC2C(=O)N(C)C(C)C(=O)O1	6.06
spectra-00000_PSM_47_DXT13GJC19	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	430	4229	746	Citrusin_VIII_Citrusin_VIII	10	1.5e-10	821.48	420.762	195.598	M+2H	2	CCC(C)C1C(=O)NC(C)C(=O)NC(C)C(=O)NCC(=O)NC(CC(C)C)C(=O)N2CCCC2C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CC(C)C)C(=O)N1	5.88
spectra-00000_PSM_48_DW8G181KJB	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	1124	7531	3037	Omphalotin_B_49-Deacyl,_49,53-di-Ac	11	1.5e-10	1465.88	737.904	288.648	M+2H	2	CCC(C)C1C(=O)N(C)C(C(C)C)C(=O)N(C)C(C(C)C)C(=O)N(C)CC(=O)N(C)C(C(=O)N(C)C(C(C)C(C)OC(=O)C)C(=O)N(C)C(C(=O)NC(C(C)C)C(=O)N(C)C(C(C)CC)C(=O)N(C)CC(=O)N2C(CC3(c4ccccc4NC23)O)C(=O)N(C)C(C(C)C)C(=O)N1)OC(=O)C)C(C)(C)O	5.71
spectra-00000_PSM_49_5OVRNTDE3B	mernst/NPSPanama2019_GNPSWorkshop/DrugMetabolismExample/METABOLOMICS-SNETS-d23ed2e6-download_clustered_spectra-main.mgf	958	6828	535	Laxaphycin_B_Laxaphycin_B	10	1.6e-10	1394.84	646.339	184.105	M+2H	2	CCCCCCCC1CC(=O)NC(C(C)C)C(=O)NC(C(C(C)C)O)C(=O)NC(C)C(=O)NC(C(C(C)C)O)C(=O)NC(CCC(=N)O)C(=O)N(C)C(C(C)CC)C(=O)NC(C(C(=N)O)O)C(=O)NC(C(C)O)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NC(C(C)O)C(=O)N1	5.56
